date,nymex_rb,nymex_ho,rack_u,rack_p,rack_d
2023-03-07,2.700700044631958,2.797499895095825,2.5621,3.2811,3.051
2023-03-08,2.6888999938964844,2.7418999671936035,2.4953,3.2143,2.9658
2023-03-09,2.60509991645813,2.6689000129699707,2.5117,3.2307,2.905
2023-03-10,2.6458001136779785,2.772900104522705,2.4262,3.1452,2.8371
2023-03-11,,,2.477,3.196,2.9758
2023-03-14,2.552999973297119,2.714400053024292,2.4106,3.1296,2.9663
2023-03-15,2.4384000301361084,2.6048998832702637,2.4185,3.1375,2.9181
2023-03-16,2.503499984741211,2.6435000896453857,2.3295,3.0485,2.7794
2023-03-17,2.501499891281128,2.6786999702453613,2.4053,3.1243,2.816
2023-03-18,,,2.404,3.1229,2.8389
2023-03-21,2.5388998985290527,2.690200090408325,2.4218,3.1408,2.8393
2023-03-22,2.5931999683380127,2.740299940109253,2.3941,3.1131,2.8501
2023-03-23,2.6059000492095947,2.6847000122070312,2.457,3.176,2.8822
2023-03-24,2.5885000228881836,2.695199966430664,2.4492,3.1682,2.8348
2023-03-25,,,2.4439,3.1628,2.8424
2023-03-28,2.712100028991699,2.7695999145507812,2.5262,3.2452,2.9357
2023-03-29,2.668100118637085,2.658099889755249,2.5311,3.2501,2.8934
2023-03-30,2.661400079727173,2.623699903488159,2.4713,3.1903,2.785
2023-03-31,2.700500011444092,2.676300048828125,2.4607,3.1797,2.7751
2023-04-01,,,2.5104,3.2294,2.8256
2023-04-04,2.7370998859405518,2.6666998863220215,2.5878,3.3067,2.8656
2023-04-05,2.8201000690460205,2.7309999465942383,2.5701,3.2891,2.8778
2023-04-06,2.8132998943328857,2.6605000495910645,2.6472,3.3662,2.9298
2023-04-07,,,2.6585,3.3775,2.8672
2023-04-08,,,2.6585,3.3775,2.8672
2023-04-11,2.8652000427246094,2.6682000160217285,2.6523,3.3712,2.8904
2023-04-12,2.8726999759674072,2.7030999660491943,2.7015,3.4205,2.8643
2023-04-13,2.831700086593628,2.672800064086914,2.6715,3.3905,2.8929
2023-04-14,2.835900068283081,2.63919997215271,2.641,3.36,2.8501
2023-04-15,,,2.6527,3.3717,2.8217
2023-04-18,2.7509000301361084,2.599900007247925,2.6094,3.3284,2.801
2023-04-19,2.6454999446868896,2.5576999187469482,2.5679,3.2869,2.7839
2023-04-20,2.586400032043457,2.4948999881744385,2.4741,3.1931,2.7387
2023-04-21,2.601599931716919,2.488600015640259,2.4342,3.1532,2.6746
2023-04-22,,,2.4582,3.1772,2.6798
2023-04-25,2.588599920272827,2.4511001110076904,2.4864,3.2054,2.7254
2023-04-26,2.5494000911712646,2.372999906539917,2.4256,3.1446,2.6445
2023-04-27,2.5327999591827393,2.3541998863220215,2.392,3.111,2.5743
2023-04-28,2.578000068664551,2.378700017929077,2.3652,3.0842,2.555
2023-04-29,,,2.417,3.136,2.5858
2023-05-02,2.435699939727783,2.2892000675201416,2.4514,3.1704,2.6032
2023-05-03,2.3220999240875244,2.232300043106079,2.342,3.061,2.5266
2023-05-06,,,2.3317,3.0506,2.5457
2023-05-09,2.4798998832702637,2.390199899673462,2.4224,3.1414,2.6105
2023-05-10,2.4948999881744385,2.393399953842163,2.4131,3.1321,2.6181
2023-05-11,2.45770001411438,2.3494999408721924,2.4255,3.1445,2.6284
2023-05-12,2.4302000999450684,2.305500030517578,2.3551,3.0741,2.5915
2023-05-13,,,2.34,3.0589,2.5458
2023-05-16,2.479099988937378,2.3638999462127686,2.395,3.114,2.6222
2023-05-17,2.569200038909912,2.422600030899048,2.3879,3.1068,2.6029
2023-05-18,2.5683000087738037,2.402600049972534,2.4818,3.2008,2.6598
2023-05-19,2.5761001110076904,2.3622000217437744,2.4736,3.1926,2.6218
2023-05-20,,,2.4443,3.1632,2.5763
2023-05-23,2.6621999740600586,2.3617000579833984,2.4716,3.1906,2.576
2023-05-24,2.7211999893188477,2.4137001037597656,2.4908,3.2098,2.5693
2023-05-25,2.6735000610351562,2.3461999893188477,2.5394,3.2584,2.6216
2023-05-26,2.703399896621704,2.36929988861084,2.4597,3.1786,2.555
2023-05-27,,,2.4932,3.2122,2.5755
2023-05-31,2.5599000453948975,2.2595999240875244,2.3888,3.1078,2.4835
2023-06-01,2.436199903488159,2.31469988822937,2.3488,3.0678,2.4672
2023-06-02,2.500699996948242,2.3568999767303467,2.3579,3.0769,2.5272
2023-06-03,,,2.4432,3.1622,2.5705
2023-06-06,2.564300060272217,2.367799997329712,2.4783,3.1973,2.5837
2023-06-07,2.641200065612793,2.4017999172210693,2.4851,3.2041,2.5724
2023-06-08,2.6126999855041504,2.3898000717163086,2.5382,3.2572,2.6043
2023-06-09,2.5931999683380127,2.3610000610351562,2.4901,3.2091,2.5916
2023-06-10,,,2.4826,3.2016,2.561
2023-06-13,2.5578999519348145,2.3954999446868896,2.391,3.11,2.5079
2023-06-14,2.5546000003814697,2.3577001094818115,2.4237,3.1427,2.5959
2023-06-15,2.641700029373169,2.479599952697754,2.3957,3.1146,2.5566
2023-06-16,2.680500030517578,2.5513999462127686,2.5004,3.2193,2.6806
2023-06-17,,,2.5112,3.2302,2.7366
2023-06-21,2.6240999698638916,2.564199924468994,2.4599,3.1788,2.6641
2023-06-22,2.550100088119507,2.4655001163482666,2.4566,3.1756,2.7475
2023-06-23,2.517199993133545,2.407099962234497,2.3914,3.1104,2.6192
2023-06-24,,,2.3328,3.0518,2.573
2023-06-27,2.5167999267578125,2.3989999294281006,2.3776,3.0966,2.6174
2023-06-28,2.6033999919891357,2.4066998958587646,2.3342,3.0532,2.5504
2023-06-29,2.6177000999450684,2.415600061416626,2.3834,3.1024,2.5689
2023-06-30,2.634000062942505,2.448199987411499,2.4149,3.1339,2.5698
2023-07-01,,,2.4476,3.1666,2.6051
2023-07-04,,,2.4476,3.1666,2.6051
2023-07-06,2.543800115585327,2.4793999195098877,2.4125,3.1314,2.6534
2023-07-07,2.5892999172210693,2.5590999126434326,2.4428,3.1618,2.6353
2023-07-08,,,2.4924,3.2113,2.7145
2023-07-11,2.6226999759674072,2.583699941635132,2.4929,3.2119,2.7039
2023-07-12,2.6670000553131104,2.599600076675415,2.5208,3.2398,2.7245
2023-07-13,2.6786000728607178,2.6103999614715576,2.5344,3.2534,2.7305
2023-07-14,2.643699884414673,2.597899913787842,2.5543,3.2733,2.7319
2023-07-15,,,2.5242,3.2431,2.7168
2023-07-18,2.6944000720977783,2.599400043487549,2.5159,3.2348,2.6908
2023-07-19,2.7204999923706055,2.6417999267578125,2.5714,3.2904,2.7259
2023-07-20,2.7432000637054443,2.664400100708008,2.5967,3.3157,2.7663
2023-07-21,2.801800012588501,2.745699882507324,2.6394,3.3584,2.7877
2023-07-22,,,2.6767,3.3957,2.8713
2023-07-25,2.853300094604492,2.777600049972534,2.7584,3.4774,2.8977
2023-07-26,2.9072000980377197,2.842900037765503,2.7339,3.4529,2.9087
2023-07-27,2.950500011444092,2.9168999195098877,2.7755,3.4945,2.9763
2023-07-28,2.9558000564575195,2.9586000442504883,2.8322,3.5512,3.0554
2023-07-29,,,2.823,3.542,3.097
2023-08-01,2.872999906539917,3.023400068283081,2.8253,3.5443,3.1265
2023-08-02,2.7757999897003174,3.004300117492676,2.7833,3.5023,3.1659
2023-08-03,2.764699935913086,3.074899911880493,2.6898,3.4088,3.142
2023-08-04,2.783099889755249,3.0622000694274902,2.6758,3.3947,3.2115
2023-08-05,,,2.6856,3.4046,3.2031
2023-08-08,2.845099925994873,3.085599899291992,2.7119,3.4309,3.1517
2023-08-09,2.9284000396728516,3.2070000171661377,2.7514,3.4704,3.2293
2023-08-10,2.9047000408172607,3.1533000469207764,2.8177,3.5367,3.3501
2023-08-11,2.964900016784668,3.121500015258789,2.8005,3.5195,3.2878
2023-08-12,,,2.8331,3.5521,3.2642
2023-08-15,2.847599983215332,3.0280001163482666,2.7848,3.5038,3.2286
2023-08-16,2.8671000003814697,3.020900011062622,2.7279,3.4469,3.167
2023-08-17,2.821700096130371,3.0938000679016113,2.7462,3.4652,3.1639
2023-08-18,2.823199987411499,3.1596999168395996,2.7181,3.4371,3.2408
2023-08-19,,,2.725,3.444,3.31
2023-08-22,2.789099931716919,3.1387999057769775,2.6885,3.4075,3.2563
2023-08-23,2.7688000202178955,3.1291000843048096,2.6959,3.4149,3.2723
2023-08-24,2.7799999713897705,3.156399965286255,2.708,3.4269,3.2578
